evidence_id,venue_id,venue_name,evidence_field,captured_value,evidence_status,source_type,source_url,source_checked_at_utc,effective_from,effective_to,projection_allowed,projection_field,classification_basis,notes
SAN_SIRO_ROOF_2026,907,Stadio Giuseppe Meazza,roof_type,ALL_SEATS_COVERED_OPEN_PITCH,CLASSIFIED_FROM_VERIFIED_EVIDENCE,OFFICIAL_CLUB,https://www.acmilan.com/en/stadium/san-siro,2026-09-24T16:35:00Z,,,true,roof_type,"Official AC Milan page states all seats are covered by polycarbonate panels; pitch remains open","Static structural classification only"
SAN_SIRO_ROOF_STATE_2026,907,Stadio Giuseppe Meazza,roof_state_default,FIXED,CLASSIFIED_FROM_VERIFIED_EVIDENCE,OFFICIAL_CLUB,https://www.acmilan.com/en/stadium/san-siro,2026-09-24T16:35:00Z,,,true,roof_state_default,"Permanent polycarbonate covering over seating; no retractable roof claim","Does not imply enclosed pitch"
SAN_SIRO_CAPACITY_CURRENT_2026,907,Stadio Giuseppe Meazza,current_capacity_authoritative,75817,VERIFIED_DIRECT,OFFICIAL_CLUB,https://www.inter.it/en/club/stadium,2026-09-24T16:35:00Z,,,false,,"Inter states current total capacity 75,817","Do not project to operational_capacity; provider registry currently reports 80,018"
SAN_SIRO_CAPACITY_CONFLICT_2026,907,Stadio Giuseppe Meazza,provider_capacity_conflict,PROVIDER_80018_VS_OFFICIAL_75817,NEEDS_REVIEW,OFFICIAL_CLUB,https://www.inter.it/en/club/stadium,2026-09-24T16:35:00Z,,,false,,"Official current capacity differs from provider nominal value","Retain provider nominal until capacity semantics reconciliation"
OLIMPICO_CAPACITY_2026,910,Stadio Olimpico,current_capacity_authoritative,69689,VERIFIED_DIRECT,LEAGUE_OFFICIAL,https://www.legaseriea.it/team/roma/stadium,2026-09-24T16:35:00Z,,,false,,"Lega Serie A Roma stadium page states capacity 69,689","Do not project to operational_capacity"
JAN_BREYDEL_ROOF_2026,176,Jan Breydelstadion,roof_type,LIMITED_STAND_COVER,CLASSIFIED_FROM_VERIFIED_EVIDENCE,OFFICIAL_CLUB,https://stadion.clubbrugge.be/nl/faq,2026-09-24T16:35:00Z,,,true,roof_type,"Club Brugge describes the current stadium as having a limited roof","Static structural classification"
JAN_BREYDEL_ROOF_STATE_2026,176,Jan Breydelstadion,roof_state_default,FIXED,CLASSIFIED_FROM_VERIFIED_EVIDENCE,OFFICIAL_CLUB,https://stadion.clubbrugge.be/nl/faq,2026-09-24T16:35:00Z,,,true,roof_state_default,"Current roof is described as existing fixed structure; no retractable capability claimed",""
JAN_BREYDEL_ENCLOSURE_2026,176,Jan Breydelstadion,enclosure_class,OPEN_CORNERS,VERIFIED_DIRECT,OFFICIAL_CLUB,https://stadion.clubbrugge.be/nl/faq,2026-09-24T16:35:00Z,,,true,enclosure_class,"Official FAQ states current north-west and south-west corners are open",""
JAN_BREYDEL_WIND_2026,176,Jan Breydelstadion,wind_exposure_class,EXPOSED_OPEN_CORNERS,CLASSIFIED_FROM_VERIFIED_EVIDENCE,OFFICIAL_CLUB,https://stadion.clubbrugge.be/nl/faq,2026-09-24T16:35:00Z,,,true,wind_exposure_class,"Open corners plus limited roof provide direct structural basis for exposure classification","Research context only; no effect size"
JAN_BREYDEL_ACOUSTIC_2026,176,Jan Breydelstadion,acoustic_enclosure_class,LOW_RETENTION_OPEN_CORNERS,CLASSIFIED_FROM_VERIFIED_EVIDENCE,OFFICIAL_CLUB,https://stadion.clubbrugge.be/nl/faq,2026-09-24T16:35:00Z,,,true,acoustic_enclosure_class,"Official FAQ says open corners limited roof and old non-insulating materials cause substantial sound escape","Research context only; not decibel estimate"
MERKUR_CAPACITY_2026,150,Merkur Arena,current_capacity_authoritative,16360,VERIFIED_DIRECT,CITY_OFFICIAL,https://www.umwelt.graz.at/cms/beitrag/10437065/13631615/Stadion_Graz_Liebenau.html,2026-09-24T16:35:00Z,,,false,,"City of Graz page states maximum football capacity 16,360","Do not project to operational_capacity"
MERKUR_ROOF_UNKNOWN_2026,150,Merkur Arena,roof_type,UNKNOWN,INSUFFICIENT_CURRENT_EVIDENCE,CITY_OFFICIAL,https://www.graz.at/cms/beitrag/10465100/15154184/,2026-09-24T16:35:00Z,,,false,,"2026 modernization study discusses future roof changes but does not safely define current roof class","Keep UNKNOWN"
KAUNAS_ROOF_2026,2612,S. Dariaus ir S. Girėno stadionas,roof_type,ALL_STANDS_COVERED_OPEN_PITCH,VERIFIED_DIRECT,STADIUM_OFFICIAL,https://www.stadionas.lt/apie-stadiona,2026-09-24T16:35:00Z,2022-01-01,,true,roof_type,"Official stadium site states all stands are covered by roof after 2022 reconstruction",""
KAUNAS_ROOF_STATE_2026,2612,S. Dariaus ir S. Girėno stadionas,roof_state_default,FIXED,CLASSIFIED_FROM_VERIFIED_EVIDENCE,STADIUM_OFFICIAL,https://www.stadionas.lt/apie-stadiona,2026-09-24T16:35:00Z,2022-01-01,,true,roof_state_default,"Permanent reconstructed roof over all stands; no retractable capability claimed","Does not imply enclosed pitch"
KASIMPASA_ROOF_2026,22763,Recep Tayyip Erdoğan Stadyumu,roof_type,PARTIAL_STAND_COVER,CLASSIFIED_FROM_VERIFIED_EVIDENCE,OFFICIAL_CLUB,https://www.kasimpasa.com.tr/en/our-club,2026-09-24T16:35:00Z,,,true,roof_type,"Official club page identifies a closed/covered stand and separate guest stand","Partial stand cover only"
KASIMPASA_ROOF_STATE_2026,22763,Recep Tayyip Erdoğan Stadyumu,roof_state_default,FIXED,CLASSIFIED_FROM_VERIFIED_EVIDENCE,OFFICIAL_CLUB,https://www.kasimpasa.com.tr/en/our-club,2026-09-24T16:35:00Z,,,true,roof_state_default,"Covered stand is structural; no retractable capability claimed",""
KASIMPASA_CAPACITY_2026,22763,Recep Tayyip Erdoğan Stadyumu,current_capacity_authoritative,14000,VERIFIED_DIRECT,OFFICIAL_CLUB,https://www.kasimpasa.com.tr/en/our-club,2026-09-24T16:35:00Z,,,false,,"Official club page states seating capacity 14,000","Do not project to operational_capacity"
KASIMPASA_SURFACE_CONFLICT_2026,22763,Recep Tayyip Erdoğan Stadyumu,surface_provider_conflict,OFFICIAL_CLUB_PAGE_ARTIFICIAL_TURF_VS_PROVIDER_GRASS,NEEDS_REVIEW,OFFICIAL_CLUB,https://www.kasimpasa.com.tr/en/our-club,2026-09-24T16:35:00Z,,,false,,"Club page describes conversion to artificial turf but currentness is unclear; provider registry says grass","Do not change canonical surface without current corroboration"
BERNABEU_RETRACTABLE_ROOF_2026,1456,Estadio Santiago Bernabéu,roof_type,RETRACTABLE_FULL_PITCH_COVER,VERIFIED_DIRECT,OFFICIAL_CLUB,https://www.realmadrid.com/es-ES/noticias/club/actualidad/toda-la-actualidad-del-santiago-bernabeu-del-siglo-xxi,2026-09-24T17:00:00Z,,,true,roof_type,"Real Madrid states the retractable roof is fully operational and protects the whole stadium from adverse weather","Static capability only; actual match roof state must be captured prematch"
BERNABEU_ROOF_STATE_CONTRACT_2026,1456,Estadio Santiago Bernabéu,roof_state_actual,PREMATCH_REQUIRED,GOVERNANCE_CONTRACT,OFFICIAL_CLUB,https://www.realmadrid.com/es-ES/noticias/club/actualidad/toda-la-actualidad-del-santiago-bernabeu-del-siglo-xxi,2026-09-24T17:00:00Z,,,false,,"Retractable roof can be deployed; no static default state is inferred","Actual open/closed state is dynamic evidence and must be known before kickoff"
VELTINS_RETRACTABLE_ROOF_2026,741,VELTINS-Arena,roof_type,RETRACTABLE_FULL_PITCH_COVER,VERIFIED_DIRECT,STADIUM_OFFICIAL,https://en.veltins-arena.de/veltins-arena/zahlen-und-fakten/,2026-09-24T17:00:00Z,,,true,roof_type,"Official arena page states two sliding roof wings can be fully opened or closed and convert the open-air stadium into an all-weather arena","Static capability only"
VELTINS_ROOF_STATE_CONTRACT_2026,741,VELTINS-Arena,roof_state_actual,PREMATCH_REQUIRED,GOVERNANCE_CONTRACT,STADIUM_OFFICIAL,https://en.veltins-arena.de/veltins-arena/zahlen-und-fakten/,2026-09-24T17:00:00Z,,,false,,"Roof state changes the weather exposure of the pitch","Actual open/closed state must be captured prematch"
JCA_RETRACTABLE_ROOF_2026,1117,Johan Cruijff Arena,roof_type,RETRACTABLE_FULL_PITCH_COVER,VERIFIED_DIRECT,STADIUM_OFFICIAL,https://www.johancruijffarena.nl/en/news/johan-cruijff-arena/werkzaamheden-aan-het-arena-dak-in-september/,2026-09-24T17:00:00Z,,,true,roof_type,"Official Johan Cruijff ArenA page confirms a retractable roof and documents periods when it remains closed for football matches","Static capability only"
JCA_ROOF_STATE_CONTRACT_2026,1117,Johan Cruijff Arena,roof_state_actual,PREMATCH_REQUIRED,GOVERNANCE_CONTRACT,STADIUM_OFFICIAL,https://www.johancruijffarena.nl/en/news/johan-cruijff-arena/werkzaamheden-aan-het-arena-dak-in-september/,2026-09-24T17:00:00Z,,,false,,"Official source demonstrates roof state can vary by operational period","Actual state must be captured before kickoff; historical 2025 closure is not reused as a 2026 match state"
